用户ID,特征,清洁效率,耗材,对比,时间
1001,"65m公寓|单身|木地板","覆盖率:85% 日均清扫:45m^2 漏扫区域:沙发底部","主副寿命:剩余60天 HEPA滤网:85%","无",2025-01
1002,"70m公寓|情侣|瓷砖","覆盖率:88% 避障失败:2次/周（电线缠绕）","边刷磨损:中度 尘盒清洁:每2天","拖地功能使用率:70%",2025-01
1003,"90m²|1狗|短毛地毯","毛发清理:92% 地毯增压使用:15次/月","胶刷更换:剩余30天 尘盒容量:每日清理","毛发处理效率:正常",2025-01
1004,"85m²|2猫|混合地面","猫砂滤网处理:8次/月 自动回充成功率:89%","主刷缠绕:严重 滤网更换:剩余10天","建议升级吸力",2025-01
1005,"120m²|老人|防滑砖","手动操作占比:95% 定时清扫未使用","电池衰减:25% 水箱未激活","急需语音控制能力",2025-01
1006,"150m别墅|儿童|多层","跨楼层失败:3次/周 玩具避障率:76%","边刷更换:2次/季度 尘袋消耗:1个/月","建议增加机械臂配件",2025-01
1007,"55m²一居|独居|复合地板","覆盖率:90% 日均清扫:35m^2 沿边清扫无死角","滤网寿命:剩余80天 尘盒清洁:每4天","无",2025-01
1008,"100m三居|三口之家|大理石","覆盖率:86% 餐桌区域漏扫:1次/天 避障成功:90%","主刷磨损:轻度 尘盒清洗:每3天","拖地模块使用率:80%",2025-01
1009,"80m两居|养宠|仿实木","宠物毛发清理:85% 自动回充成功率:92%","胶刷缠绕:中度 滤网更换:剩余25天","养宠家庭中效",2025-01
1010,"130m四居|三代同堂|通体砖","覆盖率:82% 手动辅助清扫:3次/天 定时清扫使用率:60%","电池衰减:15% 边刷寿命:剩余40天","建议升级导航",2025-01
1001,"65m公寓|单身|木地板","覆盖率:85% 日均清扫:45m^2 漏扫区域:沙发底部","主副寿命:剩余58天 HEPA滤网:82%","无",2025-02
1002,"70m公寓|情侣|瓷砖","覆盖率:88% 避障失败:2次/周（电线缠绕）","边刷磨损:中度→重度 尘盒清洁:每2天","拖地功能使用率:71%",2025-02
1003,"90m²|1狗|短毛地毯","毛发清理:92% 地毯增压使用:15次/月","胶刷更换:剩余25天 尘盒容量:每日清理","毛发处理效率:正常",2025-02
1004,"85m²|2猫|混合地面","猫砂滤网处理:8次/月 自动回充成功率:89%","主刷缠绕:严重 滤网更换:剩余5天","建议升级吸力",2025-02
1005,"120m²|老人|防滑砖","手动操作占比:95% 定时清扫未使用","电池衰减:25.5% 水箱未激活","急需语音控制能力",2025-02
1007,"55m²一居|独居|复合地板","覆盖率:90% 日均清扫:35m^2 沿边清扫无死角","滤网寿命:剩余78天 尘盒清洁:每4天","无",2025-02
1008,"100m三居|三口之家|大理石","覆盖率:86% 餐桌区域漏扫:1次/天 避障成功:90%","主刷磨损:轻度 尘盒清洗:每3天","拖地模块使用率:81%",2025-02
1009,"80m两居|养宠|仿实木","宠物毛发清理:85% 自动回充成功率:92%","胶刷缠绕:中度 滤网更换:剩余20天","养宠家庭中效",2025-02
1001,"65m公寓|单身|木地板","覆盖率:85% 日均清扫:45m^2 漏扫区域:沙发底部","主副寿命:剩余56天 HEPA滤网:80%","无",2025-03
1002,"70m公寓|情侣|瓷砖","覆盖率:87% 避障失败:3次/周（电线+数据线）","边刷磨损:重度 尘盒清洁:每2天","拖地功能使用率:72%",2025-03
1003,"90m²|1狗|短毛地毯","毛发清理:91% 地毯增压使用:14次/月","胶刷更换:剩余20天 尘盒容量:每日清理","毛发处理效率:略下降",2025-03
1004,"85m²|2猫|混合地面","猫砂滤网处理:8次/月 自动回充成功率:88%","主刷缠绕:严重 滤网更换:已更换","升级吸力后猫砂清理提升",2025-03
1006,"150m别墅|儿童|多层","跨楼层失败:3次/周 玩具避障率:75%","边刷更换:2次/季度 尘袋消耗:1个/月","建议增加机械臂配件",2025-03
1007,"55m²一居|独居|复合地板","覆盖率:90% 日均清扫:35m^2 沿边清扫无死角","滤网寿命:剩余76天 尘盒清洁:每4天","无",2025-03
1008,"100m三居|三口之家|大理石","覆盖率:86% 餐桌区域漏扫:1次/天 避障成功:90%","主刷磨损:轻度 尘盒清洗:每3天","拖地模块使用率:82%",2025-03
1010,"130m四居|三代同堂|通体砖","覆盖率:82% 手动辅助清扫:3次/天 定时清扫使用率:60%","电池衰减:15.5% 边刷寿命:剩余35天","建议升级导航",2025-03
1001,"65m公寓|单身|木地板","覆盖率:86% 日均清扫:46m^2 漏扫区域:沙发底部","主副寿命:剩余55天 HEPA滤网:78%","覆盖率+1%",2025-04
1002,"70m公寓|情侣|瓷砖","覆盖率:87% 避障失败:3次/周（电线+数据线）","边刷磨损:已更换 尘盒清洁:每2天","拖地功能使用率:73%",2025-04
1003,"90m²|1狗|短毛地毯","毛发清理:91% 地毯增压使用:14次/月","胶刷更换:剩余15天 尘盒容量:每日清理","毛发处理效率:略下降",2025-04
1004,"85m²|2猫|混合地面","猫砂滤网处理:9次/月 自动回充成功率:88%","主刷缠绕:严重 滤网更换:剩余30天","升级吸力后猫砂清理提升",2025-04
1005,"120m²|老人|防滑砖","手动操作占比:94% 定时清扫尝试使用:1次/周","电池衰减:26% 水箱未激活","急需App简化控制",2025-04
1007,"55m²一居|独居|复合地板","覆盖率:91% 日均清扫:36m^2 沿边清扫无死角","滤网寿命:剩余75天 尘盒清洁:每4天","覆盖率+1%",2025-04
1009,"80m两居|养宠|仿实木","宠物毛发清理:86% 自动回充成功率:92%","胶刷缠绕:中度 滤网更换:剩余15天","养宠家庭中效",2025-04
1001,"65m公寓|单身|木地板","覆盖率:86% 日均清扫:46m^2 漏扫区域:沙发底部","主副寿命:剩余53天 HEPA滤网:75%","无",2025-05
1002,"70m公寓|情侣|瓷砖","覆盖率:87% 避障失败:2次/周（电线+数据线）","边刷磨损:轻度 尘盒清洁:每2天","拖地功能使用率:74%",2025-05
1003,"90m²|1狗|短毛地毯","毛发清理:91% 地毯增压使用:14次/月","胶刷更换:剩余10天 尘盒容量:每日清理","毛发处理效率:略下降",2025-05
1004,"85m²|2猫|混合地面","猫砂滤网处理:9次/月 自动回充成功率:87%","主刷缠绕:严重 滤网更换:剩余25天","升级吸力后猫砂清理提升",2025-05
1006,"150m别墅|儿童|多层","跨楼层失败:4次/周 玩具避障率:74%","边刷更换:待更换 尘袋消耗:1.2个/月","建议增加地图备份功能",2025-05
1008,"100m三居|三口之家|大理石","覆盖率:87% 餐桌区域漏扫:1次/天 避障成功:91%","主刷磨损:轻度→中度 尘盒清洗:每3天","避障成功率+1%",2025-05
1010,"130m四居|三代同堂|通体砖","覆盖率:82% 手动辅助清扫:2次/天 定时清扫使用率:62%","电池衰减:16% 边刷寿命:剩余30天","建议升级导航",2025-05
1001,"65m公寓|单身|木地板","覆盖率:86% 日均清扫:46m^2 漏扫区域:沙发底部","主副寿命:剩余55天 HEPA滤网:75%","已更换主刷",2025-06
1002,"70m公寓|情侣|瓷砖","覆盖率:87% 避障失败:2次/周（电线+数据线）","边刷磨损:轻度→中度 尘盒清洁:每2天","拖地功能使用率:75%",2025-06
1003,"90m²|1狗|短毛地毯","毛发清理:91% 地毯增压使用:14次/月","胶刷更换:剩余20天 尘盒容量:每日清理","毛发处理效率:略下降",2025-06
1004,"85m²|2猫|混合地面","猫砂滤网处理:9次/月 自动回充成功率:87%","主刷缠绕:严重 滤网更换:已更换","升级吸力后猫砂清理提升",2025-06
1005,"120m²|老人|防滑砖","手动操作占比:94% 定时清扫尝试使用:1次/周","电池衰减:26% 水箱未激活","急需App简化控制",2025-06
1006,"150m别墅|儿童|多层","跨楼层失败:4次/周 玩具避障率:74%","边刷更换:待更换 尘袋消耗:1.2个/月","建议增加地图备份功能",2025-06
1007,"55m²一居|独居|复合地板","覆盖率:91% 日均清扫:36m^2 沿边清扫无死角","滤网寿命:剩余75天 尘盒清洁:每4天","覆盖率提升1%",2025-06
1008,"100m三居|三口之家|大理石","覆盖率:87% 餐桌区域漏扫:1次/天 避障成功:91%","主刷磨损:轻度→中度 尘盒清洗:每3天","避障成功率+1%",2025-06
1009,"80m两居|养宠|仿实木","宠物毛发清理:86% 自动回充成功率:93%","胶刷缠绕:中度 滤网更换:剩余25天","养宠家庭中效",2025-06
1001,"65m公寓|单身|木地板","覆盖率:86% 日均清扫:46m^2 漏扫区域:沙发底部","主副寿命:剩余52天 HEPA滤网:72%","无",2025-07
1002,"70m公寓|情侣|瓷砖","覆盖率:88% 避障失败:2次/周（电线+数据线）","边刷磨损:中度 尘盒清洁:每2天","拖地功能使用率:76%",2025-07
1003,"90m²|1狗|短毛地毯","毛发清理:92% 地毯增压使用:15次/月","胶刷更换:剩余15天 尘盒容量:每日清理","毛发处理效率:恢复",2025-07
1004,"85m²|2猫|混合地面","猫砂滤网处理:8次/月 自动回充成功率:88%","主刷缠绕:严重 滤网更换:剩余20天","升级吸力后猫砂清理提升",2025-07
1005,"120m²|老人|防滑砖","手动操作占比:94% 定时清扫使用率:1次/周","电池衰减:26.5% 水箱未激活","急需App简化控制",2025-07
1007,"55m²一居|独居|复合地板","覆盖率:91% 日均清扫:36m^2 沿边清扫无死角","滤网寿命:剩余73天 尘盒清洁:每4天","无",2025-07
1008,"100m三居|三口之家|大理石","覆盖率:87% 餐桌区域漏扫:1次/天 避障成功:91%","主刷磨损:中度 尘盒清洗:每3天","避障成功率+1%",2025-07
1010,"130m四居|三代同堂|通体砖","覆盖率:83% 手动辅助清扫:2次/天 定时清扫使用率:63%","电池衰减:16% 边刷寿命:剩余25天","建议升级导航",2025-07
1001,"65m公寓|单身|木地板","覆盖率:87% 日均清扫:47m^2 漏扫区域:沙发底部","主副寿命:剩余50天 HEPA滤网:70%","覆盖率+1%",2025-08
1002,"70m公寓|情侣|瓷砖","覆盖率:88% 避障失败:2次/周（电线+数据线）","边刷磨损:中度 尘盒清洁:每2天","拖地功能使用率:77%",2025-08
1003,"90m²|1狗|短毛地毯","毛发清理:92% 地毯增压使用:15次/月","胶刷更换:剩余10天 尘盒容量:每日清理","毛发处理效率:恢复",2025-08
1004,"85m²|2猫|混合地面","猫砂滤网处理:8次/月 自动回充成功率:88%","主刷缠绕:严重 滤网更换:剩余15天","升级吸力后猫砂清理提升",2025-08
1006,"150m别墅|儿童|多层","跨楼层失败:3次/周 玩具避障率:76%","边刷更换:1次/季度 尘袋消耗:1个/月","建议增加机械臂配件",2025-08
1007,"55m²一居|独居|复合地板","覆盖率:92% 日均清扫:37m^2 沿边清扫无死角","滤网寿命:剩余72天 尘盒清洁:每4天","覆盖率+1%",2025-08
1009,"80m两居|养宠|仿实木","宠物毛发清理:86% 自动回充成功率:93%","胶刷缠绕:中度 滤网更换:剩余20天","养宠家庭中效",2025-08
1001,"65m公寓|单身|木地板","覆盖率:87% 日均清扫:47m^2 漏扫区域:沙发底部","主副寿命:剩余48天 HEPA滤网:68%","无",2025-09
1002,"70m公寓|情侣|瓷砖","覆盖率:88% 避障失败:2次/周（电线+数据线）","边刷磨损:中度→重度 尘盒清洁:每2天","拖地功能使用率:78%",2025-09
1003,"90m²|1狗|短毛地毯","毛发清理:92% 地毯增压使用:16次/月","胶刷更换:已更换 尘盒容量:每日清理","毛发处理效率:优秀",2025-09
1004,"85m²|2猫|混合地面","猫砂滤网处理:7次/月 自动回充成功率:88%","主刷缠绕:严重 滤网更换:剩余10天","升级吸力后猫砂清理改善",2025-09
1005,"120m²|老人|防滑砖","手动操作占比:93% 定时清扫使用率:2次/周","电池衰减:27% 水箱未激活","语音控制建议持续",2025-09
1008,"100m三居|三口之家|大理石","覆盖率:88% 餐桌区域漏扫:0次/天 避障成功:92%","主刷磨损:中度 尘盒清洗:每3天","避障成功率+2% 餐桌漏扫消除",2025-09
1010,"130m四居|三代同堂|通体砖","覆盖率:83% 手动辅助清扫:2次/天 定时清扫使用率:64%","电池衰减:16% 边刷寿命:剩余20天","建议升级导航",2025-09
1001,"65m公寓|单身|木地板","覆盖率:87% 日均清扫:47m^2 漏扫区域:沙发底部","主副寿命:剩余46天 HEPA滤网:65%","无",2025-10
1002,"70m公寓|情侣|瓷砖","覆盖率:88% 避障失败:2次/周（电线+数据线）","边刷磨损:已更换 尘盒清洁:每2天","拖地功能使用率:79%",2025-10
1003,"90m²|1狗|短毛地毯","毛发清理:92% 地毯增压使用:16次/月","胶刷更换:剩余25天 尘盒容量:每日清理","毛发处理效率:优秀",2025-10
1004,"85m²|2猫|混合地面","猫砂滤网处理:7次/月 自动回充成功率:89%","主刷缠绕:严重 滤网更换:已更换","升级吸力后猫砂清理改善",2025-10
1006,"150m别墅|儿童|多层","跨楼层失败:2次/周 玩具避障率:77%","边刷更换:1次/季度 尘袋消耗:1个/月","机械臂配件效果良好",2025-10
1007,"55m²一居|独居|复合地板","覆盖率:92% 日均清扫:37m^2 沿边清扫无死角","滤网寿命:剩余71天 尘盒清洁:每4天","无",2025-10
1009,"80m两居|养宠|仿实木","宠物毛发清理:86% 自动回充成功率:93%","胶刷缠绕:中度 滤网更换:剩余15天","养宠家庭中效",2025-10
1001,"65m公寓|单身|木地板","覆盖率:87% 日均清扫:47m^2 漏扫区域:沙发底部","主副寿命:剩余44天 HEPA滤网:62%","无",2025-11
1002,"70m公寓|情侣|瓷砖","覆盖率:88% 避障失败:2次/周（电线+数据线）","边刷磨损:轻度 尘盒清洁:每2天","拖地功能使用率:80%",2025-11
1003,"90m²|1狗|短毛地毯","毛发清理:92% 地毯增压使用:16次/月","胶刷更换:剩余20天 尘盒容量:每日清理","毛发处理效率:优秀",2025-11
1004,"85m²|2猫|混合地面","猫砂滤网处理:7次/月 自动回充成功率:89%","主刷缠绕:严重 滤网更换:剩余25天","升级吸力后猫砂清理改善",2025-11
1005,"120m²|老人|防滑砖","手动操作占比:93% 定时清扫使用率:2次/周","电池衰减:27% 水箱首次激活:使用1次","语音控制建议持续",2025-11
1008,"100m三居|三口之家|大理石","覆盖率:88% 餐桌区域漏扫:0次/天 避障成功:92%","主刷磨损:中度 尘盒清洗:每3天","避障成功率+2% 餐桌漏扫消除",2025-11
1010,"130m四居|三代同堂|通体砖","覆盖率:83% 手动辅助清扫:2次/天 定时清扫使用率:65%","电池衰减:16% 边刷寿命:剩余15天","建议升级导航",2025-11
1001,"65m公寓|单身|木地板","覆盖率:87% 日均清扫:47m^2 漏扫区域:沙发底部","主副寿命:剩余50天 HEPA滤网:60%","已更换主刷",2025-12
1002,"70m公寓|情侣|瓷砖","覆盖率:88% 避障失败:2次/周（电线+数据线）","边刷磨损:轻度 尘盒清洁:每2天","拖地功能使用率:80%",2025-12
1003,"90m²|1狗|短毛地毯","毛发清理:92% 地毯增压使用:16次/月","胶刷更换:剩余15天 尘盒容量:每日清理","毛发处理效率:优秀",2025-12
1004,"85m²|2猫|混合地面","猫砂滤网处理:7次/月 自动回充成功率:88%","主刷缠绕:严重 滤网更换:剩余20天","升级吸力后猫砂清理改善",2025-12
1005,"120m²|老人|防滑砖","手动操作占比:93% 定时清扫使用率:2次/周","电池衰减:27% 水箱使用:1次/月","语音控制建议持续",2025-12
1006,"150m别墅|儿童|多层","跨楼层失败:2次/周 玩具避障率:78%","边刷更换:1次/季度 尘袋消耗:1个/月","机械臂配件效果良好",2025-12
1007,"55m²一居|独居|复合地板","覆盖率:92% 日均清扫:37m^2 沿边清扫无死角","滤网寿命:剩余70天 尘盒清洁:每4天","全年覆盖率+2%",2025-12
1008,"100m三居|三口之家|大理石","覆盖率:88% 餐桌区域漏扫:0次/天 避障成功:92%","主刷磨损:中度 尘盒清洗:每3天","避障成功率+2% 餐桌漏扫消除",2025-12
1009,"80m两居|养宠|仿实木","宠物毛发清理:86% 自动回充成功率:93%","胶刷缠绕:中度 滤网更换:剩余10天","养宠家庭中效",2025-12
1010,"130m四居|三代同堂|通体砖","覆盖率:83% 手动辅助清扫:2次/天 定时清扫使用率:65%","电池衰减:16% 边刷寿命:剩余10天","建议升级导航",2025-12